activity,timeStamp,x,y,x
Downstairs,1.576566466674e+12,-0.19515228,0.7923767,-0.19515228
Downstairs,1.576566466732e+12,-0.060801696,0.8933853,-0.060801696
Downstairs,1.57656646683e+12,-0.20594025,1.0238144,-0.20594025
Downstairs,1.576566466969e+12,-0.13337097,0.9600708,-0.13337097
Downstairs,1.576566467115e+12,-0.18240356,0.6511612,-0.18240356
Downstairs,1.576566467211e+12,-0.3510788,0.5962448,-0.3510788
Downstairs,1.576566467563e+12,0.0029418946,0.48837128,0.0029418946
Downstairs,1.576566467646e+12,-0.14121552,0.6070312,-0.14121552
Downstairs,1.576566467742e+12,-0.09120178,0.77276456,-0.09120178
Downstairs,1.576566467762e+12,-0.06472321,0.82277834,-0.06472321
Downstairs,1.57656646792e+12,0,0.8051254,0
Downstairs,1.57656646802e+12,-0.27556762,0.71294403,-0.27556762
Downstairs,1.576566468027e+12,-0.22849426,0.7031372,-0.22849426
Downstairs,1.576566468059e+12,-0.3147934,0.73255616,-0.3147934
Downstairs,1.576566468078e+12,-0.37167206,0.66489106,-0.37167206
Downstairs,1.576566468099e+12,-0.3667694,0.67665863,-0.3667694
Downstairs,1.576566468633e+12,0.07060852,0.93751526,0.07060852
Downstairs,1.576566468713e+12,-0.30106354,0.9433991,-0.30106354
Downstairs,1.576566468952e+12,-0.20005493,0.7247116,-0.20005493
Downstairs,1.576566469288e+12,-0.29714203,1.6033875,-0.29714203
Downstairs,1.576566469307e+12,-0.28341216,1.2787873,-0.28341216
Downstairs,1.576566469328e+12,-0.3569626,0.9483032,-0.3569626
Downstairs,1.576566469546e+12,-0.0039230348,0.8786758,-0.0039230348
Downstairs,1.576566469824e+12,-0.27360535,1.1414948,-0.27360535
Downstairs,1.5765664701e+12,-0.378537,0.7923767,-0.378537
Downstairs,1.57656647022e+12,-0.37951812,1.3140914,-0.37951812
Downstairs,1.57656647026e+12,-0.31675416,1.2375991,-0.31675416
Downstairs,1.576566470299e+12,-0.41776276,1.6288849,-0.41776276
Downstairs,1.576566470358e+12,-0.3608841,1.5837739,-0.3608841
Downstairs,1.5765664705e+12,-0.052955627,0.7305954,-0.052955627
Downstairs,1.576566470664e+12,-0.293219,0.90025026,-0.293219
Downstairs,1.576566470795e+12,-0.5266174,0.84239197,-0.5266174
Downstairs,1.576566470834e+12,-0.5393661,1.069905,-0.5393661
Downstairs,1.576566471014e+12,-0.26379853,0.9483032,-0.26379853
Downstairs,1.576566471191e+12,-0.5128876,1.0757889,-0.5128876
Downstairs,1.576566471369e+12,-0.18240356,1.2385803,-0.18240356
Downstairs,1.576566471437e+12,-0.34715575,0.98851013,-0.34715575
Downstairs,1.576566471489e+12,-0.2745865,0.76001585,-0.2745865
Downstairs,1.576566471608e+12,-0.11865997,0.8384689,-0.11865997
Downstairs,1.576566471886e+12,-0.16965485,1.258194,-0.16965485
Downstairs,1.576566471906e+12,-0.25889587,1.0012589,-0.25889587
Downstairs,1.576566472028e+12,0.07453003,1.009105,0.07453003
Downstairs,1.576566472084e+12,-0.13925476,0.92770845,-0.13925476
Downstairs,1.576566472203e+12,-0.17455903,0.9051544,-0.17455903
Downstairs,1.576566472443e+12,-0.29223785,0.8531784,-0.29223785
Downstairs,1.57656647248e+12,-0.18828735,0.8776947,-0.18828735
Downstairs,1.5765664726e+12,-0.2324173,1.3013427,-0.2324173
Downstairs,1.576566472808e+12,-0.13925476,0.63547057,-0.13925476
Downstairs,1.576566473339e+12,-0.12748718,0.61487734,-0.12748718
Downstairs,1.576566473395e+12,-0.2902771,0.78747404,-0.2902771
Downstairs,1.576566473631e+12,0.045111082,1.5092437,0.045111082
Downstairs,1.576566473749e+12,-0.11375733,0.93359375,-0.11375733
Downstairs,1.576566473809e+12,-0.071588136,0.5942825,-0.071588136
Downstairs,1.576566473911e+12,-0.10885315,0.86004335,-0.10885315
Downstairs,1.576566474047e+12,-0.19122925,0.93653566,-0.19122925
Downstairs,1.576566474106e+12,-0.61193544,1.3042847,-0.61193544
Downstairs,1.576566474385e+12,-0.18534546,0.65900725,-0.18534546
Downstairs,1.57656647478e+12,-0.0049026487,0.7668808,-0.0049026487
Downstairs,1.576566474741e+12,-0.17161712,1.1513001,-0.17161712
Downstairs,1.576566474939e+12,-0.038246155,0.8345459,-0.038246155
Downstairs,1.576566474958e+12,0.045111082,0.89142454,0.045111082
Downstairs,1.576566475077e+12,-0.29910278,1.0708863,-0.29910278
Downstairs,1.576566475097e+12,-0.43933868,1.4258865,-0.43933868
Downstairs,1.576566475335e+12,-0.21084289,0.67665863,-0.21084289
Downstairs,1.576566475416e+12,-0.2667404,0.7119629,-0.2667404
Downstairs,1.576566475526e+12,-0.36873016,0.8580826,-0.36873016
Downstairs,1.576566475672e+12,-0.071588136,1.2944778,-0.071588136
Downstairs,1.576566475735e+12,-0.26085663,0.864946,-0.26085663
Downstairs,1.576566475752e+12,-0.19907531,0.72863466,-0.19907531
Downstairs,1.576566475834e+12,-0.0823761,0.46679688,-0.0823761
Downstairs,1.576566475851e+12,-0.101989746,0.5099457,-0.101989746
Downstairs,1.57656647591e+12,-0.036283873,0.8051254,-0.036283873
Downstairs,1.57656647593e+12,0.030400086,0.90417325,0.030400086
Downstairs,1.576566476009e+12,-0.047071837,1.0581375,-0.047071837
Downstairs,1.57656647617e+12,0.059820555,0.8374878,0.059820555
Downstairs,1.576566476148e+12,-0.050994873,1.1218811,-0.050994873
Downstairs,1.576566477021e+12,-0.19319153,1.2209275,-0.19319153
Downstairs,1.576566477278e+12,-0.16082916,0.7453049,-0.16082916
Downstairs,1.576566477734e+12,0.052955627,0.698233,0.052955627
Downstairs,1.576566477794e+12,-0.14808044,0.5530945,-0.14808044
Downstairs,1.57656647821e+12,-0.06374359,0.7207886,-0.06374359
Downstairs,1.57656647835e+12,-0.04903259,0.6452774,-0.04903259
Downstairs,1.576566478586e+12,-0.08924103,1.3337052,-0.08924103
Downstairs,1.576566478765e+12,-0.019613648,0.62762606,-0.019613648
Downstairs,1.576566478864e+12,0.14317779,0.660968,0.14317779
Downstairs,1.576566478923e+12,0.044129945,0.85710144,0.044129945
Downstairs,1.576566478963e+12,0.078453064,1.0610794,0.078453064
Downstairs,1.576566479181e+12,-0.019613648,1.1944504,-0.019613648
Downstairs,1.576566479201e+12,0.32950288,1.2081788,0.32950288
Downstairs,1.576566479319e+12,-0.2324173,0.7060791,-0.2324173
Downstairs,1.576566479522e+12,-0.32754213,1.0610794,-0.32754213
Downstairs,1.576566479974e+12,-0.0794342,0.96693575,-0.0794342
