activity,timeStamp,x,y,z,,,
Walking,1.58E+12,0.1470993,0.82670134,-0.008825684,21,,
Walking,1.58E+12,-0.006864929,0.9561478,0.08629914,39,,
Walking,1.58E+12,-0.059820555,1.0120468,0.048052978,21,,
Walking,1.58E+12,-0.10787354,1.0934417,0.090220645,18,,
Walking,1.58E+12,-0.20103607,1.1866043,0.09120178,21,,
Walking,1.58E+12,-0.45012513,1.2444642,0.1588684,40,,
Walking,1.58E+12,-0.4344345,1.3346847,0.19122925,18,,
Walking,1.58E+12,-0.24222413,1.3592011,0.10689239,21,,
Walking,1.58E+12,-0.06472321,1.2405411,-0.036283873,20,,
Walking,1.58E+12,-0.056878664,1.0934417,-0.023536682,39,,
Walking,1.58E+12,0.03334198,1.2797683,-0.11669922,20,,
Walking,1.58E+12,0.22457275,1.418042,-0.21770783,20,,
Walking,1.58E+12,0.4618927,1.3611634,-0.22555237,40,,
Walking,1.58E+12,0.40207213,1.2729034,-0.11081543,20,,
Walking,1.58E+12,0.07256927,1.0149887,0.021574402,39,,
Walking,1.58E+12,-0.02745819,0.8835785,0.016671753,19,,
Walking,1.58E+12,-0.07551117,0.7345184,-0.03432312,40,,
Walking,1.58E+12,-0.08335724,0.62468415,-0.05491791,22,,
Walking,1.58E+12,-0.05491791,0.49621582,-0.03530426,39,,
Walking,1.58E+12,-0.001960754,0.4403183,0.037265014,8,,
Walking,1.58E+12,0.15396424,0.6178192,0.19024964,30,,
Walking,1.58E+12,0.19122925,0.705098,0.30596772,21,,
Walking,1.58E+12,0.21770783,0.87279207,0.4736618,39,,
Walking,1.58E+12,0.22555237,0.9826263,0.50112,20,,
Walking,1.58E+12,0.30694884,1.2052368,0.48739013,40,,
Walking,1.58E+12,0.3893234,1.1552231,0.51779175,18,,
Walking,1.58E+12,0.49523622,1.1875855,0.4805252,20,,
Walking,1.58E+12,0.40207213,1.5925995,0.13042907,41,,
Walking,1.58E+12,0.13925476,1.5063019,-0.30694884,19,,
Walking,1.58E+12,-0.051974487,0.7678604,-0.25497285,40,,
Walking,1.58E+12,-0.03530426,0.7472671,-0.3334259,19,,
Walking,1.58E+12,0.004902649,1.0512726,-0.26183778,20,,
Walking,1.58E+12,-0.05393677,1.0846161,-0.06472321,39,,
Walking,1.58E+12,-0.032362364,0.84337157,-0.043148804,20,,
Walking,1.58E+12,0.0823761,0.6746979,-0.013729858,39,,
Walking,1.58E+12,0.14513855,0.61880034,0.00098114,8,,
Walking,1.58E+12,0.10689239,0.6903885,-0.015690614,13,,
Walking,1.58E+12,0.022555541,0.86690825,-0.0460907,40,,
Walking,1.58E+12,0.056878664,0.83062285,-0.008825684,19,,
Walking,1.58E+12,0.09610443,0.83552706,0.04118805,20,,
Walking,1.58E+12,0.09512482,0.89142454,0.039227296,41,,
Walking,1.58E+12,0.071588136,0.93947756,0.04216919,7,,
Walking,1.58E+12,0.015690614,1.0591186,0.03432312,32,,
Walking,1.58E+12,0.0578598,1.1326675,0.051974487,18,,
Walking,1.58E+12,-0.13435058,1.2081788,0.084336855,40,,
Walking,1.58E+12,-0.36774904,1.258194,0.11669922,22,,
Walking,1.58E+12,-0.44914398,1.3552796,0.090220645,20,,
Walking,1.58E+12,-0.33734894,1.3690078,-0.03530426,24,,
Walking,1.58E+12,-0.021574402,1.1866043,-0.13533172,35,,
Walking,1.58E+12,0.25595397,1.3111496,-0.065704346,18,,
