activity,timeStamp,x,y,z,,,
Walking,1.58E+12,0.045111082,0.7766861,-0.03432312,20,8805,
Walking,1.58E+12,0.017651368,0.8482758,0.031381227,38,8843,
Walking,1.58E+12,0.005883789,0.8659271,0.084336855,8,8851,
Walking,1.58E+12,-0.023536682,0.8472946,0.1039505,13,8864,
Walking,1.58E+12,-0.07551117,0.8472946,0.09708557,40,8904,
Walking,1.58E+12,-0.11669922,0.8659271,0.09218292,10,8914,
Walking,1.58E+12,-0.04118805,0.9845871,0.12356415,31,8945,
Walking,1.58E+12,0.014709473,1.1012863,0.15396424,18,8963,
Walking,1.58E+12,0.019613648,1.2111206,0.21574707,21,8984,
Walking,1.58E+12,-0.08335724,1.2601547,0.18828735,41,9025,
Walking,1.58E+12,-0.17946167,1.2729034,0.15788727,14,9039,
Walking,1.58E+12,-0.14611968,1.217006,-0.001960754,24,9063,
Walking,1.58E+12,-0.071588136,1.1159973,-0.08335724,18,9081,
Walking,1.58E+12,-0.08041382,1.0650024,-0.094143674,20,9101,
Walking,1.58E+12,0.018632507,1.3101685,-0.14611968,40,9141,
Walking,1.58E+12,0.20397797,1.3866608,-0.28047028,19,9160,
Walking,1.58E+12,0.35892335,1.3425308,-0.26183778,20,9180,
Walking,1.58E+12,0.24810791,1.2307342,-0.060801696,42,9222,
Walking,1.58E+12,0.10493164,1.1571853,0,19,9241,
Walking,1.58E+12,-0.09610443,0.8492554,0.052955627,38,9279,
Walking,1.58E+12,-0.07453003,0.7119629,0.050013732,22,9301,
Walking,1.58E+12,-0.030400086,0.623703,-0.009806824,17,9318,
Walking,1.58E+12,0.003923035,0.6001663,-0.050994873,20,9338,
Walking,1.58E+12,0.056878664,0.59134066,-0.06374359,21,9359,
Walking,1.58E+12,0.13533172,0.62566376,0.045111082,41,9400,
Walking,1.58E+12,0.120622255,0.6845047,0.17848054,18,9418,
Walking,1.58E+12,0.105911255,0.8286621,0.34421387,40,9458,
Walking,1.58E+12,0.12748718,0.9198639,0.36578828,19,9477,
